,Barris,1st Tri 2014,2nd Tri 2014,3rd Tri 2014,4th Tri 2014,1st Tri 2015,2nd Tri 2015,3rd Tri 2015,4th Tri 2015,1st Tri 2016,2nd Tri 2016,3rd Tri 2016,4th Tri 2016,1st Tri 2017,Evolution
0,,674.87,"667,89","701,98","705,73","702,0","713,9","765,2","755,1",755.2,774.1,826.0,843.4,8451,1152.2411723739388
1,1. el Raval,589.55,"550,63","576,45","597,00","601,3","598,9","654,0","644,7",624.4,662.3,666.2,716.7,7350,1146.7135951149182
2,2. el Barri Gòtic,712.79,"728,79","790,74","761,68","756,7","771,1","773,0","831,1",893.4,806.2,851.6,914.0,9053,1170.0795465705187
3,3. la Barceloneta,540.71,"541,93","578,88","593,73","581,3","598,2","630,0","601,4",638.7,659.3,686.6,686.3,7228,1236.7609254498714
4,"4. Sant Pere, Santa Caterina i la Ribera",673.44,"676,98","699,10","687,33","697,2","708,0","729,0","751,6",759.2,773.6,839.6,854.2,8953,1229.4428605369444
5,5. el Fort Pienc,736.09,"706,16","719,84","735,99","753,8","770,1","753,0","792,5",800.1,808.1,868.3,816.5,8711,1083.4150715265796
6,6. la Sagrada Família,673.37,"663,23","697,69","687,26","679,0","704,4","739,0","726,9",752.4,739.9,799.4,806.4,8470,1157.8522951720452
7,7. la Dreta de l'Eixample,921.40,"948,96","934,55","975,96","957,6","988,9","1.052,0","1.035,1",1104.3,1120.4,1144.0,1174.4,11511,1149.2945517690473
8,8. l'Antiga Esquerra de l'Eixample,827.87,"821,81","869,72","848,56","859,6","906,1","926,0","941,6",947.3,960.8,986.2,1012.2,10015,1109.73099641248
9,9. la Nova Esquerra de l'Eixample,716.13,"708,00","746,78","753,61","766,2","766,9","807,0","789,8",811.6,842.5,890.5,926.2,9091,1169.462248474439
10,10. Sant Antoni,693.43,"718,01","713,89","720,14","740,4","746,0","798,0","772,1",805.9,793.6,883.3,882.5,8770,1164.7275139523817
11,11. el Poble Sec - AEI Parc Montjuïc,568.00,"578,65","580,89","602,55","578,8","598,5","631,0","638,5",622.2,651.2,696.7,706.1,7157,1160.0352112676055
12,12. la Marina del Prat Vermell - AEI Zona Franca,nan,,,,,"381,1",,"411,4",360.9,,,,nan,
13,13. la Marina de Port,553.55,"454,44","542,81","574,45","492,5","536,2","565,0","566,0",447.6,548.5,577.5,613.2,6892,1145.054647276669
14,14. la Font de la Guatlla,631.50,"624,88","630,89","679,58","728,2","687,3","735,0","648,8",638.7,751.7,764.4,786.4,8063,1176.8012668250196
15,15. Hostafrancs,580.71,"584,91","605,58","603,86","614,2","601,6","632,0","640,9",662.3,673.2,702.7,703.3,6802,1071.3247576242875
16,16. la Bordeta,604.74,"616,40","603,16","621,68","621,7","607,7","661,0","657,9",645.2,672.1,674.9,730.4,7393,1122.5088467771275
17,17. Sants - Badal,584.27,"569,68","629,58","602,28","606,5","606,8","652,0","635,3",629.7,702.9,710.5,711.1,6976,1093.9685419412258
18,18. Sants,605.28,"618,80","624,78","647,14","616,0","627,9","701,0","658,4",664.7,681.4,740.5,740.3,7373,1118.1139307427968
19,19. les Corts,777.23,"765,29","786,29","802,23","822,4","817,2","860,0","909,3",892.7,912.5,950.0,983.5,9363,1104.6627124531992
20,20. la Maternitat i Sant Ramon,700.16,"748,64","768,46","806,43","728,0","679,5","814,0","764,8",777.9,821.2,892.3,866.4,8964,1180.2787934186472
21,21. Pedralbes,1230.00,"1.459,12","1.506,20","1.762,06","1.250,8","1.711,4","2.034,0","1.860,3",1572.6,1660.4,1689.6,1692.2,18566,1409.4308943089432
22,"22. Vallvidrera, el Tibidabo i les Planes",837.33,"1.051,22","988,66","1.754,44","1.335,7","824,4","1.119,0","841,1",933.9,1117.7,1302.1,1354.6,12480,1390.4517931998137
23,23. Sarrià,1042.16,"1.030,35","1.081,14","1.004,37","917,1","1.101,2","1.156,0","1.227,3",1195.7,1197.6,1172.9,1185.8,12915,1139.2530897367005
24,24. les Tres Torres,1215.85,"1.327,22","1.386,13","1.352,08","1.335,6","1.337,8","1.462,0","1.386,0",1380.7,1560.7,1619.0,1490.7,15165,1147.2755685323027
25,25. Sant Gervasi - la Bonanova,927.63,"920,62","963,57","948,26","954,0","1.056,1","1.073,0","1.076,8",1116.5,1096.7,1083.5,1197.7,11821,1174.3227364358636
26,26. Sant Gervasi - Galvany,1053.70,"1.006,56","1.078,84","1.047,50","1.088,7","1.095,7","1.262,0","1.153,9",1187.6,1189.1,1278.7,1299.0,12686,1103.9479927873208
27,27. el Putxet i el Farró,750.84,"761,35","766,33","761,70","758,4","790,2","840,0","808,4",827.8,891.6,876.8,904.2,9135,1116.637366149912
28,28. Vallcarca i els Penitents,679.66,"648,32","642,66","691,94","777,2","712,8","713,0","745,3",741.4,755.9,830.2,818.7,9466,1292.755201129977
29,29. el Coll,583.93,"551,40","537,15","552,75","576,4","539,6","576,0","542,7",590.5,592.8,635.1,653.7,6874,1077.1958967684484
30,30. la Salut,634.48,"702,33","684,28","655,87","673,2","637,8","743,0","751,7",684.5,773.0,855.9,784.9,8414,1226.1253309796998
31,31. la Vila de Gràcia,679.80,"673,79","691,69","681,25","707,2","726,6","742,0","749,2",764.0,773.7,827.8,829.2,8371,1131.3915857605177
32,32. el Camp d'en Grassot i Gràcia Nova,671.00,"665,44","711,14","681,26","701,7","712,6","752,0","735,8",802.7,780.4,805.9,823.7,8393,1150.8196721311476
33,33. el Baix Guinardó,622.63,"610,87","613,17","638,55","653,2","631,0","636,0","649,1",696.7,642.9,718.5,747.3,7439,1094.7705700014455
34,34. Can Baró,568.94,"525,04","536,04","545,11","521,1","539,6","586,0","550,5",595.9,632.0,645.7,658.7,6373,1020.1532674798747
35,35. el Guinardó,586.50,"564,10","585,39","590,31","601,1","596,1","620,0","631,0",646.8,634.8,679.4,705.7,7227,1132.2250639386189
36,36. la Font d'en Fargues,585.45,"772,41","703,15","784,44","733,8","749,2","611,0","775,3",749.8,689.7,675.7,761.3,8129,1288.5045691348535
37,37. el Carmel,478.70,"495,01","498,79","506,26","485,7","504,6","528,0","528,8",518.2,550.3,557.6,597.1,5971,1147.3365364528934
38,38. la Teixonera,492.79,"476,94","469,77","506,77","505,0","547,2","498,0","527,5",513.5,544.6,570.1,672.6,6639,1247.2270135351773
39,39. Sant Genís dels Agudells,557.00,"568,75","542,51","550,45","543,3","558,5","554,0","545,8",616.4,592.4,603.8,623.6,6223,1017.2351885098743
40,40. Montbau,537.94,"535,88","578,50","544,47","608,9","621,8","626,0","654,1",614.8,635.1,646.4,668.5,7164,1231.7470349853143
41,41. la Vall d'Hebron,737.73,"675,63","715,00","672,22","740,0","701,4","655,0","689,8",692.4,786.3,796.9,778.7,8161,1006.2312770254701
42,42. la Clota,nan,,,,,,"368,0",,,,,,nan,
43,43. Horta,556.30,"566,67","562,86","585,58","585,5","568,3","572,0","594,2",601.3,620.1,634.4,668.7,6699,1104.2063634729464
44,44. Vilapicina i la Torre Llobeta,555.89,"573,24","567,26","579,11","561,6","583,1","581,0","615,1",618.6,617.0,640.5,684.2,6874,1136.575581499937
45,45. Porta,523.29,"517,06","522,70","552,56","545,9","556,5","542,0","577,5",536.7,574.4,617.2,672.6,6546,1150.9316058017544
46,46. el Turó de la Peira,475.06,"461,25","459,42","501,06","456,0","485,4","509,0","555,2",537.9,547.7,538.1,582.1,5870,1135.6333936765882
47,47. Can Peguera,241.99,"295,39","145,45",,,,,,,,,301.8,nan,
48,48. la Guineueta,613.58,"613,14","607,74","620,83","626,2","562,5","555,0","538,1",589.2,614.0,632.3,666.8,6345,934.0949835392287
49,49. Canyelles,563.33,"474,29","532,67","566,36",,"575,8","558,0","598,0",619.9,621.4,648.8,617.5,6896,1124.1492553210373
50,50. les Roquetes,461.28,"448,60","444,29","450,40","461,9","466,9","476,0","448,6",455.7,475.4,512.3,523.0,5043,993.2622268470345
51,51. Verdun,503.47,"465,56","484,98","502,41","469,8","419,8","506,0","503,3",539.6,526.2,495.5,565.9,5955,1082.791427493197
52,52. la Prosperitat,521.81,"501,40","479,48","515,99","515,5","531,3","544,0","528,7",518.0,550.3,584.5,589.2,6246,1096.987409210249
53,53. la Trinitat Nova,442.94,"449,31","416,65","420,98","433,8","456,7","466,0","438,9",423.2,450.9,419.5,438.6,5407,1120.7070935115366
54,54. Torre Baró,nan,"320,21",,,,"420,6",,"366,7",392.4,447.0,0.0,416.4,4181,
55,55. Ciutat Meridiana,359.27,"406,17","372,44","360,94","401,2","399,2","381,0","400,3",344.3,428.0,373.1,446.1,4592,1178.1473543574468
56,56. Vallbona,nan,,,,,"450,0",,,418.0,,,,nan,
57,57. la Trinitat Vella,461.10,"407,26","419,12","400,76","383,6","465,0","449,0","455,9",422.4,483.2,459.8,552.8,4978,979.592279332032
58,58. Baró de Viver,nan,"231,40",,,"303,8","362,9","187,0",,142.3,,256.4,,nan,
59,59. el Bon Pastor,488.14,"476,31","503,93","514,58","504,3","526,1","577,0","539,3",472.4,588.2,558.4,555.1,6228,1175.8634817880115
60,60. Sant Andreu,581.16,"573,12","593,22","557,10","586,0","609,6","631,0","622,9",624.8,663.3,658.5,690.6,7086,1119.2855667974397
61,61. la Sagrera,626.26,"622,71","570,36","616,27","619,2","608,6","637,0","682,4",658.1,620.0,670.2,709.1,5752,818.4683677705746
62,62. el Congrés i els Indians,563.42,"556,26","596,63","607,77","595,4","594,3","636,0","618,9",613.7,635.8,691.9,662.3,6960,1135.312910439814
63,63. Navas,613.47,"590,17","635,11","647,84","665,9","650,8","685,0","688,4",665.3,704.4,712.3,768.7,7168,1068.43529430942
64,64. el Camp de l'Arpa del Clot,580.09,"592,63","604,83","615,61","615,5","624,2","669,0","660,7",659.6,690.8,715.5,720.4,7566,1204.2803702873691
65,65. el Clot,604.85,"641,11","607,62","643,75","618,6","637,0","673,0","672,1",645.4,688.9,708.8,728.9,7750,1181.3094155575761
66,66. el Parc i la Llacuna del Poblenou,704.67,"678,23","739,94","634,12","722,2","755,4","774,0","737,3",799.6,759.1,839.1,886.7,8507,1107.231753870606
67,67. la Vila Olímpica del Poblenou,926.43,"988,89","1.121,06","991,06","1.093,1","1.116,3","1.173,0","1.015,1",1136.0,1151.5,1142.8,1285.6,11084,1096.4206685880206
68,68. el Poblenou,663.93,"644,01","652,23","658,01","682,8","711,5","764,0","773,5",719.1,785.1,828.6,840.8,8689,1208.7223050622806
69,69. Diagonal Mar i el Front Marítim del Poblenou,866.70,"817,93","896,42","1.130,29","914,8","981,9","1.023,0","1.211,0",1004.5,1116.1,1268.5,1181.2,11482,1224.7952001846081
70,70. el Besòs i el Maresme,516.90,"480,69","423,45","504,19","512,9","506,0","516,0","492,1",506.7,521.1,556.5,571.6,5889,1039.291932675566
71,71. Provençals del Poblenou,635.70,"643,46","630,29","649,21","612,1","670,4","679,0","685,3",758.8,727.8,856.6,987.2,9996,1472.4398301085416
72,72. Sant Martí de Provençals,643.66,"641,75","614,55","636,30","662,3","697,3","672,0","666,8",688.5,679.3,716.2,720.7,7421,1052.9378864617966
73,73. la Verneda i la Pau,568.68,"569,14","569,84","552,58","609,2","595,4","633,0","602,2",597.9,613.2,617.0,591.9,6779,1092.0588028416685
