,Dte.,Barris,average_area,average_rent,average_rent_per_m2,number_contracts,evolution_area,evolution_rent,evolution_rent_m2,evolution_contracts
0,1.0,el Raval,59.7,735.0,13.5,484.0,-1.1589403973509862,24.671359511491822,25.46468401486989,35.95505617977528
1,1.0,el Barri Gotic,73.2,905.3,14.1,203.0,-6.274007682458378,27.007954657051872,33.2703213610586,50.37037037037037
2,1.0,la Barceloneta,39.4,722.8,19.5,214.0,0.0,33.67609254498713,35.416666666666664,64.61538461538461
3,1.0,"Sant Pere, Santa Caterina i la Ribera",66.6,895.3,15.0,316.0,-1.9145802650957453,32.94428605369445,36.239782016348784,61.224489795918366
4,2.0,el Fort Pienc,73.7,871.1,12.8,240.0,-2.8985507246376847,18.34150715265796,22.840690978886762,18.22660098522168
5,2.0,la Sagrada Familia,69.7,847.0,13.0,378.0,5.766312594840662,25.785229517204503,23.222748815165872,26.845637583892614
6,2.0,la Dreta de l'Eixample,99.6,1151.1,12.8,435.0,-2.4485798237022527,24.929455176904703,30.081300813008138,39.42307692307692
7,2.0,l'Antiga Esquerra de l'Eixample,82.5,1001.5,13.2,405.0,-4.403244495944377,20.973099641248023,27.53623188405797,15.056818181818182
8,2.0,la Nova Esquerra de l'Eixample,76.1,909.1,13.0,450.0,3.5374149659863865,26.946224847443904,25.96899224806201,5.140186915887849
9,2.0,Sant Antoni,76.7,877.0,12.4,255.0,1.8592297476759705,26.472751395238177,26.919140225179127,-10.839160839160838
10,3.0,el Poble Sec - AEI Parc Montjuic,58.9,715.7,13.0,266.0,0.0,26.003521126760567,27.701375245579573,-1.4814814814814816
11,3.0,la Marina del Prat Vermell - AEI Zona Franca,70.0,,,1.0,0.0,,,0.0
12,3.0,la Marina de Port,72.5,689.2,9.9,91.0,5.0724637681159415,24.505464727666894,18.705035971223023,9.63855421686747
13,3.0,la Font de la Guatlla,66.9,806.3,12.6,62.0,6.0221870047543655,27.68012668250197,16.343490304709142,10.714285714285714
14,3.0,Hostafrancs,58.8,680.2,12.4,130.0,-2.8099173553719057,17.13247576242875,19.23076923076923,11.111111111111109
15,3.0,la Bordeta,70.8,739.3,10.9,100.0,4.270986745213536,22.250884677712726,15.221987315010564,12.359550561797752
16,3.0,Sants - Badal,57.7,697.6,12.9,153.0,-5.409836065573765,19.396854194122586,29.77867203219317,2.684563758389262
17,3.0,Sants,61.7,737.3,13.0,302.0,-3.744149765990626,21.81139307427967,31.445904954499486,-4.4303797468354436
18,4.0,les Corts,73.5,936.3,13.6,304.0,0.2728512960436601,20.46627124531991,19.40298507462686,36.93693693693694
19,4.0,la Maternitat i Sant Ramon,71.7,896.4,13.2,120.0,-0.9668508287292856,28.02787934186472,31.736526946107784,20.0
20,4.0,Pedralbes,121.9,1856.6,16.0,40.0,9.918845807033364,50.9430894308943,42.98480786416444,-20.0
21,5.0,"Vallvidrera, el Tibidabo i les Planes",96.6,1248.0,10.1,20.0,-19.900497512437813,49.045179319981365,27.84810126582277,122.22222222222223
22,5.0,Sarria,81.2,1291.5,16.3,150.0,-6.6666666666666625,23.92530897367006,29.16006339144217,37.61467889908257
23,5.0,les Tres Torres,102.5,1516.5,16.1,68.0,4.805725971370146,24.72755685323025,21.32629992464207,-4.225352112676056
24,5.0,Sant Gervasi - la Bonanova,84.7,1182.1,14.6,174.0,-10.084925690021233,27.43227364358633,27.399650959860374,45.0
25,5.0,Sant Gervasi - Galvany,99.9,1268.6,14.1,400.0,3.630705394190871,20.394799278732073,16.721854304635762,36.518771331058026
26,5.0,el Putxet i el Farro,69.7,913.5,15.0,278.0,-7.926023778071334,21.6637366149912,35.623869801084986,29.906542056074766
27,6.0,Vallcarca i els Penitents,70.9,946.6,14.1,134.0,-4.447439353099727,39.27552011299768,38.50687622789784,78.66666666666666
28,6.0,el Coll,60.4,687.4,12.0,45.0,-5.919003115264803,17.719589676844834,22.82497441146367,4.651162790697675
29,6.0,la Salut,75.1,841.4,12.5,86.0,8.840579710144919,32.61253309796998,22.549019607843146,11.688311688311687
30,6.0,la Vila de Gracia,63.8,837.1,14.9,589.0,-0.15649452269170802,23.139158576051788,28.55910267471959,15.0390625
31,6.0,el Camp d'en Grassot i Gracia Nova,68.7,839.3,12.9,239.0,-0.8658008658008577,25.081967213114748,25.36443148688048,20.100502512562816
32,7.0,el Baix Guinardo,63.9,743.9,12.7,174.0,-6.304985337243407,19.477057000144548,31.879543094496352,23.40425531914893
33,7.0,Can Baro,57.8,637.3,11.9,56.0,-1.3651877133105874,12.015326747987466,19.358074222667998,19.148936170212764
34,7.0,el Guinardo,62.5,722.7,12.3,231.0,-5.303030303030303,23.2225063938619,31.550802139037447,14.925373134328355
35,7.0,la Font d'en Fargues,64.8,812.9,14.9,29.0,-1.0687022900763403,38.850456913485345,60.90712742980561,38.095238095238095
36,7.0,el Carmel,55.2,597.1,11.5,184.0,-7.692307692307682,24.73365364528933,36.741973840665864,22.666666666666664
37,7.0,la Teixonera,63.4,663.9,10.7,77.0,4.620462046204617,34.722701353517714,25.58685446009389,42.5925925925926
38,7.0,Sant Genis dels Agudells,71.2,622.3,9.0,40.0,-1.9283746556473709,11.723518850987425,16.580310880829018,25.0
39,7.0,Montbau,63.0,716.4,13.0,28.0,4.825291181364389,33.17470349853141,37.13080168776371,154.54545454545453
40,7.0,la Vall d'Hebron,75.3,816.1,11.7,19.0,8.34532374100719,10.623127702547002,10.481586402266283,72.72727272727273
41,7.0,la Clota,,,,,,,,
42,7.0,Horta,62.4,669.9,11.2,138.0,-5.454545454545458,20.420636347294632,26.553672316384183,26.605504587155966
43,8.0,Vilapicina i la Torre Llobeta,65.1,687.4,11.2,152.0,0.1538461538461451,23.6575581499937,26.553672316384183,21.6
44,8.0,Porta,64.8,654.6,10.2,110.0,2.0472440944881845,25.093160580175446,18.881118881118873,-8.333333333333332
45,8.0,el Turo de la Peira,59.0,587.0,10.3,81.0,-13.107511045655382,23.563339367658823,35.70487483530963,17.391304347826086
46,8.0,Can Peguera,52.0,,,1.0,33.67609254498715,,,-93.33333333333331
47,8.0,la Guineueta,68.9,634.5,9.1,69.0,-10.169491525423725,3.409498353922872,12.207151664611594,30.188679245283016
48,8.0,Canyelles,85.9,689.6,8.0,13.0,6.04938271604939,22.414925532103734,8.843537414965992,116.66666666666669
49,8.0,les Roquetes,57.2,504.3,9.4,62.0,3.6231884057971016,9.326222684703444,10.19929660023448,1.639344262295082
50,8.0,Verdun,55.3,595.5,11.3,46.0,-4.490500863557862,18.279142749319714,25.13842746400888,-2.127659574468085
51,8.0,la Prosperitat,57.0,624.6,11.6,102.0,-4.362416107382552,19.69874092102491,28.460686600221486,-10.526315789473683
52,8.0,la Trinitat Nova,55.1,540.7,10.0,22.0,8.039215686274513,22.07070935115367,11.607142857142847,-35.29411764705883
53,8.0,Torre Baro,58.6,418.1,7.3,9.0,-24.387096774193548,,,350.0
54,8.0,Ciutat Meridiana,59.0,459.2,7.9,30.0,1.7241379310344829,27.81473543574471,26.805778491171747,-25.0
55,8.0,Vallbona,88.3,,,4.0,16.184210526315788,,,300.0
56,9.0,la Trinitat Vella,58.0,497.8,9.4,39.0,-0.8547008547008548,7.959227933203207,13.52657004830919,-4.878048780487805
57,9.0,Baro de Viver,69.3,,,4.0,20.312499999999996,,,-20.0
58,9.0,el Bon Pastor,68.0,622.8,9.2,42.0,8.62619808306709,27.58634817880116,13.720642768850427,10.526315789473683
59,9.0,Sant Andreu,62.8,708.6,12.4,267.0,-5.705705705705702,21.928556679743966,32.05537806176784,0.0
60,9.0,la Sagrera,58.7,575.2,9.8,152.0,-15.295815295815286,-8.153163222942537,5.603448275862084,-1.2987012987012987
61,9.0,el Congres i els Indians,67.1,696.0,11.2,79.0,5.835962145110403,23.53129104398141,21.60694896851247,11.26760563380282
62,9.0,Navas,70.7,716.8,10.4,110.0,0.8559201141226941,16.843529430942006,13.043478260869579,8.91089108910891
63,10.0,el Camp de l'Arpa del Clot,63.4,756.6,12.9,273.0,3.4257748776508987,30.42803702873692,29.518072289156624,11.428571428571427
64,10.0,el Clot,67.7,775.0,12.3,141.0,4.961240310077524,28.130941555757623,25.254582484725052,4.4444444444444455
65,10.0,el Parc i la Llacuna del Poblenou,71.9,850.7,13.1,100.0,7.634730538922168,20.723175387060625,18.659420289855078,38.888888888888886
66,10.0,la Vila Olimpica del Poblenou,81.7,1108.4,16.3,43.0,-1.9207683073229225,19.642066858802085,31.77041228779306,19.44444444444445
67,10.0,el Poblenou,67.8,868.9,13.4,222.0,9.17874396135265,30.87223050622807,17.750439367311067,25.423728813559322
68,10.0,Diagonal Mar i el Front Maritim del Poblenou,84.2,1148.2,15.8,90.0,11.08179419525067,32.479520018460825,46.02587800369686,32.35294117647059
69,10.0,el Besos i el Maresme,62.2,588.9,9.5,63.0,2.1346469622331763,13.929193267556588,11.633372502937725,-20.253164556962027
70,10.0,Provencals del Poblenou,69.4,999.6,13.2,103.0,2.058823529411773,57.243983010854166,38.364779874213845,21.176470588235293
71,10.0,Sant Marti de Provencals,71.9,742.1,10.5,102.0,-8.173690932311612,15.293788646179669,20.274914089347075,21.428571428571427
72,10.0,la Verneda i la Pau,69.4,677.9,10.0,77.0,-1.6997167138810036,19.205880284166852,19.904076738609113,11.594202898550725
